Sprachen,Bundesland,Ort
Polnisch,Baden-Württemberg,Leimen
"Slowakisch, Tschechisch",Baden-Württemberg,Stuttgart
Russisch,Baden-Württemberg,
"Bosnisch, Kroatisch, Serbisch",Baden-Württemberg,Korntal-Münchingen
Englisch,Baden-Württemberg,Freiburg<br />Freiburg
Italienisch,Baden-Württemberg,Bisingen
Spanisch,Baden-Württemberg,Heidelberg
Russisch,Baden-Württemberg,Umkirch
Türkisch,Baden-Württemberg,<br />Kehl
Englisch,Baden-Württemberg,Stuttgart
Türkisch,Baden-Württemberg,Stuttgart
"Englisch, Spanisch",Baden-Württemberg,Ludwigsburg
Englisch,Baden-Württemberg,Freiburg
Russisch,Baden-Württemberg,Pforzheim
"Italienisch, Portugiesisch",Baden-Württemberg,Bad Schönborn
Englisch,Baden-Württemberg,
Englisch,Baden-Württemberg,Wiesloch
Spanisch,Baden-Württemberg,Heidelberg
Spanisch,Baden-Württemberg,Berlin
Englisch,Baden-Württemberg,Heidelberg
Englisch,Baden-Württemberg,
Französisch,Baden-Württemberg,Emskirchen
"Englisch, Französisch, Italienisch",Baden-Württemberg,Freiburg
Französisch,Baden-Württemberg,Untermerzbach
Italienisch,Baden-Württemberg,Heidelberg
Englisch,Baden-Württemberg,
Bulgarisch,Baden-Württemberg,Berlin
Rumänisch,Baden-Württemberg,Mannheim
Französisch,Baden-Württemberg,Stuttgart
Englisch,Baden-Württemberg,Stuttgart
Rumänisch,Baden-Württemberg,Lobbach
Englisch,Baden-Württemberg,Pforzheim
